Data Source Name,Category,Status,Priority,URL/Location,Layers Used,Geospatial,Feature Extraction,Model Usage,Notes,Action Required
Land Use (BRP Gewaspercelen),WFS Service,In Use,Medium,https://service.pdok.nl/rvo/brpgewaspercelen/wfs/v1_0,BrpGewas,Yes,Majority class (category/gewas) + area fraction,Land use patterns affect vegetation & soil stability,Agricultural crop data - part of existing DataCollector,None - already integrated
Buildings (BAG),WFS Service,In Use,Medium,https://service.pdok.nl/lv/bag/wfs/v2_0,bag:pand,Yes,Majority class (gebruiksdoel) + area fraction,Built environment affects erosion patterns,Building footprints and usage types - part of existing DataCollector,None - already integrated
Vegetation Legger (RWS),WFS Service,Replace,Low,https://geo.rijkswaterstaat.nl/services/ogc/gdr/rws_vegetatielegger/ows,bomen/heggen/vegetatieklassen,Yes,"Tree density (numerical), vegetation class (majority), hedge count",Vegetation stabilizes banks BUT this shows PERMITTED not ACTUAL,"Confirmed insufficient in QGIS - vegetatieklassen takes huge space, trees might be accurate",Replace with Vegetatiemonitor when access granted
RWS Legger,WFS Service,Available,High,https://geo.rijkswaterstaat.nl/services/ogc/gdr/rws_legger/ows,"46 layers, find NVO construction",Yes,TBD based on relevant layers,Infrastructure history affects erosion patterns,"NVO construction data, shores (oever), groynes (krib), structures. KEY for when/how banks were modified.",Batch test overnight - identify 3-5 most relevant layers (oever_legger? krib_legger?)
BKN (Beheerkaart Natuur),WFS Service,Available,Medium,https://geo.rijkswaterstaat.nl/services/ogc/gdr/beheerkaart_nat/ows,Find NVO construction data,Yes,TBD based on relevant layers,Nature management zones may correlate with erosion,Nature management map - related to NVO data. Complements RWS Legger.,Batch test overnight - explore available layers
Vegetatiemonitor,WFS Service,Pending,High,Need to request from RWS,Multiple layers - annual/satellite,Yes,Actual vegetation coverage (vs permitted),ACTUAL vegetation much better than permitted (vegetatielegger),"Shows what vegetation EXISTS. Historical data available. Ondrej prioritized this. Not open data, needs permission.",Ask Pam: Who to contact for access? Request historical data (yearly or satellite updates)
Bodemkaart (Soil),Static GeoPackage,Available,Medium,backend/data/BRO_DownloadBodemkaart.gpkg,"soilarea (48k polygons), areaofpedologicalinterest (6k polygons), 14 lookup tables",Yes,Majority soil type via soilunit_code → mainsoilclassification,Different soil types (sand/clay/peat) erode at different rates,"National 1:50k soil map (V2025-1, 146MB). Join soilarea → soilarea_soilunit → soil_units for soil type names. Use as local_geospatial_data in DataCollector.",Join lookup tables and integrate as local data - add to AGGREGATION_COLUMNS config
AIS Shipping Data,API / Request,Pending,Medium,Request from RWS via Etienne,Time-series CSV/database?,No,Aggregate factor: river width × ship volume,"Ship waves cause erosion, varies by river section",Yearly counts or tonnage. Apply as zone factor (wider rivers disperse waves better).,Etienne emailing RWS - need multi-year historical period
High Water Events & Water Levels,REST API (Waterweb/WADAR),In Use (from Water Station data),High,https://ddapi20-waterwebservices.rijkswaterstaat.nl/,"WATHTE (water height relative to NAP), Q (discharge)",No,"Frequency + magnitude of high water events (2016-2024), max/mean water levels per region",High water = more erosion pressure,"JSON POST API. Historical data from 1737-2027. 10min intervals. Active stations: shertogenbosch.empel.maas (Empel, 0km), sintandries.waal (Brakel, 17.7km upstream), zutphen.ijssel (Terwolde, 15.4km downstream). Located via find_nearest_waterweb_stations.py.",Test with test_waterweb_api.py ✓ - then download historical data (2016-2024) for all scope regions and aggregate to features
Water Flow & Discharge,REST API (Waterweb/WADAR),In Use (from Water Station data),Medium,https://ddapi20-waterwebservices.rijkswaterstaat.nl/,Q (discharge in m³/s),No,Flow velocity at measurement stations (aggregate to zones),Flow speed affects erosion rate,Same API as water levels. Parameter: Grootheid='Q'. May not be available at all locations (fewer stations than water level).,Test Q parameter availability at study locations - integrate with water level workflow if available
Inner/Outer Bend,Calculated,In Use,High,Derived from river centerline,N/A - calculated,Yes,Centerline curvature within 100m radius,Outer bends erode faster than inner bends,Already calculated from centerline shape in existing code. Centerline from middenlijn layer.,None - already implemented
River Centerline,Local Data,In Use,Critical,middenlijn layer in phase1_2025-08-14_v1.gpkg,626 linestrings (238 locations),Yes,Curvature calculation for inner/outer bend feature,Foundation for bend calculation,Own version (not from Levering_erosie_data). Required for distance-to-border and bend calculations.,None - already integrated
